N	0
0	1
1	2
2	3
3	4
4	5
5	6
6	7
C	8
急	9
件	10
财	11
政	12
部	13
科	14
技	15
文	16
教	17
（	18
）	19
号	20
关	21
于	22
调	23
整	24
国	25
家	26
计	27
划	28
和	29
公	30
益	31
性	32
行	33
业	34
研	35
专	36
项	37
经	38
费	39
管	40
理	41
办	42
法	43
若	44
干	45
规	46
定	47
的	48
通	49
知	50
务	51
院	52
各	53
委	54
、	55
直	56
属	57
机	58
构	59
，	60
总	61
装	62
备	63
新	64
疆	65
生	66
产	67
建	68
设	69
兵	70
团	71
省	72
自	73
治	74
区	75
辖	76
市	77
讠	78
丨	79
单	80
列	81
厅	82
局	83
有	84
位	85
：	86
21	87
06	88
年	89
共	90
同	91
制	92
了	93
《	94
重	95
点	96
基	97
础	98
究	99
发	100
展	101
》	102
支	103
撑	104
十	105
高	106
术	107
86	108
